student,pre,post,group
S01,42,58,A
S02,38,52,A
S03,45,61,A
S04,40,55,A
S05,44,60,A
S06,39,54,A
S07,43,59,A
S08,41,56,A
S09,46,62,A
S10,37,51,A
S11,43,57,A
S12,40,53,A
S13,42,58,A
S14,38,52,A
S15,45,60,A
S16,41,55,A
S17,44,59,A
S18,39,53,A
S19,46,61,A
S20,37,50,A
S21,40,52,B
S22,42,54,B
S23,38,50,B
S24,41,53,B
S25,39,51,B
S26,43,55,B
S27,40,52,B
S28,42,54,B
S29,38,50,B
S30,41,53,B
S31,39,51,B
S32,40,52,B
S33,42,54,B
S34,38,50,B
S35,41,53,B
S36,39,51,B
S37,40,52,B
S38,42,54,B
S39,38,50,B
S40,41,53,B
